,dob,company_id,last_active,score,member_since,state,first_name,last_name,col_year
457,1995/10/26,2,03/17/2018,88,1973,Pennsylvania,Jonathan,Rodriguez,1995
463,1996/06/27,15,09/26/2018,96,1982,Arkansas,Tina,Spears,1996
466,1978/10/05,3,05/03/2018,86,1977,North Carolina,David,Kennedy,1978
468,1992/07/18,12,06/02/2018,68,1988,New Hampshire,Eddie,Jackson,1992
482,1995/07/18,14,01/21/2018,84,1972,Michigan,Michael,Mitchell,1995
485,1994/02/17,11,12/14/2018,32,1975,Idaho,Courtney,Brown,1994
489,1997/03/02,13,08/09/2018,48,1972,Michigan,Daniel,Hancock,1997
492,1994/12/26,17,01/28/2018,59,1970,South Dakota,Joshua,Bartlett,1994
493,1988/01/13,14,02/02/2018,94,1970,Minnesota,Ariana,Robbins,1988
497,1996/09/05,18,11/14/2018,39,1978,Kentucky,Brian,Stephenson,1996
500,1986/06/13,11,05/09/2018,54,1981,Minnesota,Angela,Erickson,1986
505,1996/10/01,11,05/23/2018,81,1985,Wyoming,Morgan,Spencer,1996
508,1997/04/10,2,09/16/2018,89,1976,Montana,Rhonda,Sanchez,1997
509,1993/04/02,5,06/19/2018,40,1988,Arkansas,Nicholas,Price,1993
510,1997/03/27,18,03/15/2018,46,1992,Wyoming,Dominic,Martin,1997
511,1997/09/13,10,12/13/2018,62,1970,Texas,Christina,Franco,1997
515,1997/06/27,7,07/20/2018,56,1985,Mississippi,Nicole,Williams,1997
516,1987/03/01,4,08/03/2018,34,1976,Nevada,Kelsey,Brooks,1987
518,1998/09/19,18,06/26/2018,33,1995,Louisiana,Robert,Pugh MD,1998
521,1977/09/28,0,10/26/2018,66,1971,Utah,Kimberly,Williams,1977
526,1981/04/17,19,12/31/2018,38,1977,Iowa,Jessica,Cabrera,1981
527,1989/11/10,2,04/06/2018,62,1980,Nebraska,Kerri,Bates,1989
528,1989/11/04,8,09/30/2018,79,1979,Montana,Tammy,Adams,1989
530,1998/07/26,19,01/13/2018,87,1981,North Carolina,Luis,Walker,1998
531,1989/03/01,5,04/04/2018,48,1987,Vermont,William,Lee,1989
532,1990/03/06,20,05/25/2018,66,1985,Idaho,Daniel,Williams,1990
541,1982/09/16,18,09/11/2018,65,1977,South Carolina,Rachel,Johnson,1982
544,1990/06/09,17,08/06/2018,80,1976,Ohio,Vincent,Mcbride,1990
557,1995/03/19,18,02/02/2018,69,1983,South Dakota,Thomas,Murphy,1995
559,1988/07/20,5,12/13/2018,99,1972,New Mexico,Ronald,Wright,1988
561,1987/02/12,18,02/11/2018,50,1971,Kansas,Mary,James,1987
564,1998/11/23,15,07/01/2018,49,1983,Nebraska,Joseph,Frank,1998
566,1992/04/08,15,10/01/2018,36,1975,Oregon,Amy,Ryan,1992
567,1997/10/14,19,01/20/2018,46,1986,Missouri,Kimberly,Green,1997
573,1983/10/16,9,02/11/2018,86,1978,Michigan,Joshua,Gay,1983
583,1982/04/05,1,04/24/2018,40,1980,Arizona,Eric,Sanchez,1982
586,1995/12/27,14,12/22/2018,88,1978,Maryland,Jennifer,Petersen,1995
589,1997/10/24,4,09/07/2018,61,1971,Nevada,Teresa,Torres,1997
598,1993/11/16,13,07/24/2018,96,1975,Idaho,Anna,Fitzpatrick,1993
600,1990/05/30,6,09/07/2018,80,1970,California,Vickie,Carter,1990
607,1996/12/21,1,07/08/2018,48,1989,South Carolina,Kaitlyn,Simmons,1996
608,1992/05/19,11,05/27/2018,57,1989,Michigan,Amber,Houston,1992
610,1997/03/17,13,03/15/2018,31,1994,Wisconsin,Jamie,Lawrence,1997
615,1977/11/07,18,08/21/2018,84,1974,Massachusetts,Lisa,Hutchinson,1977
619,1981/08/28,0,08/01/2018,56,1973,Illinois,Lori,Jacobs,1981
632,1990/08/07,17,07/20/2018,39,1978,Wyoming,Stephen,Bean,1990
635,1989/12/29,4,03/13/2018,87,1985,Nebraska,Michael,Strickland,1989
639,1993/11/13,9,03/14/2018,76,1981,Alaska,Paula,Fernandez,1993
640,1977/02/24,17,09/17/2018,79,1972,Arizona,Jessica,Morgan,1977
642,1997/01/03,6,01/08/2019,65,1976,Iowa,Tammy,Martinez,1997
646,1997/01/29,10,09/14/2018,66,1990,Georgia,Chelsey,Martin,1997
653,1992/10/15,16,02/21/2018,32,1984,West Virginia,Ellen,Sheppard,1992
655,1994/03/03,9,08/15/2018,37,1992,New Jersey,Brenda,Vaughn,1994
656,1974/06/13,15,07/16/2018,66,1970,Utah,Michael,Price,1974
657,1979/12/21,6,04/23/2018,52,1974,Illinois,Sally,Alvarez,1979
663,1998/02/19,7,03/30/2018,66,1988,Maine,Wesley,Reed,1998
670,1994/04/05,6,03/17/2018,76,1972,Arkansas,Austin,Hicks,1994
672,1990/04/15,2,05/07/2018,86,1971,Missouri,Linda,Conner,1990
674,1996/05/02,13,11/08/2018,40,1977,North Carolina,Hannah,Jefferson,1996
678,1993/04/16,13,08/03/2018,49,1974,Georgia,James,Murphy,1993
682,1993/02/02,0,11/17/2018,30,1980,Utah,Brandon,Yoder,1993
696,1990/03/25,1,12/22/2018,52,1977,Ohio,Mary,Lynch,1990
697,1994/03/01,20,01/08/2019,85,1986,New Jersey,Christine,Young,1994
707,1998/07/31,9,09/14/2018,60,1976,Texas,Derek,Atkinson,1998
708,1991/08/26,17,01/06/2019,55,1982,New Hampshire,Cody,Short,1991
716,1992/05/17,4,12/17/2018,61,1989,Wisconsin,Christopher,Ramirez,1992
724,1998/03/24,19,11/10/2018,52,1991,Rhode Island,Amanda,Hunt,1998
727,1993/03/04,6,04/20/2018,72,1971,Rhode Island,Nathan,Bailey,1993
728,1989/03/10,17,05/29/2018,65,1976,Virginia,Samuel,Allen,1989
737,1998/08/01,11,11/24/2018,69,1983,North Carolina,Brenda,Colon,1998
744,1983/03/25,10,10/02/2018,81,1972,Oregon,Marcus,Kennedy,1983
748,1982/09/11,18,05/30/2018,93,1980,Massachusetts,Pamela,Schmidt,1982
749,1996/08/22,7,09/13/2018,41,1982,Idaho,Robert,Middleton,1996
763,1994/07/09,10,08/13/2018,31,1984,Maine,Christopher,Lopez,1994
778,1994/05/03,7,07/17/2018,68,1973,Rhode Island,Angel,Frederick DDS,1994
783,1986/04/22,0,12/16/2018,71,1975,Nevada,Rhonda,Peterson,1986
787,1978/08/09,20,11/09/2018,59,1975,Nebraska,Robert,Simpson,1978
796,1991/06/29,2,03/31/2018,33,1989,New Mexico,Veronica,Beck,1991
799,1982/04/26,2,09/04/2018,47,1977,Colorado,Tyler,Moore,1982
802,1980/08/26,19,08/30/2018,49,1972,Alabama,Justin,Hall,1980
813,1997/11/24,18,01/11/2018,31,1977,Washington,Brianna,Stevens,1997
830,1994/11/04,19,09/06/2018,39,1991,Connecticut,Monica,Rogers,1994
831,1997/01/19,14,02/06/2018,56,1981,New Hampshire,Paula,Smith,1997
844,1992/10/06,0,02/20/2018,91,1991,Illinois,Billy,Montgomery,1992
845,1991/03/16,13,01/14/2018,86,1974,New Hampshire,Joseph,Martin,1991
847,1989/06/30,1,11/10/2018,94,1985,Connecticut,Bryan,Harrison,1989
849,1982/11/18,20,02/05/2018,86,1978,New Hampshire,Taylor,May,1982
851,1996/09/10,20,08/25/2018,80,1976,Florida,Christine,Harrison,1996
861,1972/08/03,18,08/18/2018,42,1971,West Virginia,Adrian,Nelson,1972
863,1998/03/24,17,06/17/2018,86,1988,Utah,Brenda,Garza,1998
871,1987/10/28,2,07/01/2018,70,1981,Kentucky,Justin,Ferrell,1987
880,1998/09/05,16,05/16/2018,34,1994,Delaware,Jason,Dougherty,1998
881,1997/09/12,4,03/10/2018,56,1985,Florida,Vanessa,Rosales,1997
890,1993/03/30,2,01/28/2018,62,1977,New Jersey,Brenda,Morton,1993
898,1994/08/11,10,04/15/2018,38,1985,Washington,John,Murphy,1994
900,1980/03/25,13,12/24/2018,68,1977,North Carolina,Peter,Chan,1980
916,1990/02/14,14,07/31/2018,83,1981,North Carolina,Andrew,Taylor,1990
933,1996/06/17,9,02/02/2018,80,1990,South Dakota,Tommy,Rodriguez,1996
935,1993/05/22,20,08/20/2018,38,1974,North Carolina,Lorraine,Martin,1993
945,1979/06/15,18,07/10/2018,54,1976,Massachusetts,Russell,Grant,1979
950,1985/01/27,5,12/31/2018,51,1982,Arizona,Gregory,Foster,1985
975,1994/08/06,13,07/03/2018,59,1988,Delaware,Karen,Smith,1994
982,1991/11/30,1,08/26/2018,78,1979,Louisiana,Jeffrey,Crawford,1991
987,1996/03/03,0,06/14/2018,91,1973,Hawaii,Franklin,Martinez,1996
989,1993/03/09,12,11/02/2018,30,1978,Wisconsin,Ashley,Scott,1993
991,1996/06/19,13,08/04/2018,69,1995,New Mexico,John,Gilbert,1996
1005,1981/10/31,8,10/04/2018,99,1977,Montana,Christine,Fowler,1981
1008,1997/02/07,13,08/21/2018,62,1996,New Hampshire,Brian,Vasquez,1997
1018,1980/06/21,7,05/18/2018,93,1977,Utah,Theresa,Hernandez,1980
1026,1981/03/01,4,09/18/2018,76,1980,Louisiana,James,Jackson,1981
1030,1980/12/13,3,01/19/2018,58,1975,Connecticut,Deborah,Mccall,1980
1033,1996/05/27,12,01/22/2018,35,1995,Virginia,Nicole,Cox,1996
1035,1991/04/20,16,08/01/2018,39,1979,Pennsylvania,Robert,Johnson,1991
1044,1982/01/26,12,05/16/2018,79,1975,New Hampshire,Trevor,Mcmahon,1982
1047,1994/05/22,15,03/21/2018,78,1978,West Virginia,Dana,Martinez,1994
1051,1987/07/15,2,08/22/2018,80,1973,Wyoming,Michelle,Foster,1987
1052,1982/11/27,9,08/18/2018,75,1970,Hawaii,Joseph,Cooper,1982
1054,1995/10/27,12,05/21/2018,69,1976,New Mexico,Jennifer,Paul,1995
1056,1997/04/25,8,11/20/2018,99,1970,Arizona,Michael,Murray,1997
1061,1993/11/19,0,01/01/2019,33,1986,New Jersey,Paula,Jackson,1993
1065,1989/09/21,8,09/05/2018,80,1976,Oregon,Brett,Hickman,1989
1074,1984/01/16,20,09/21/2018,70,1978,South Carolina,Charles,Miller,1984
1077,1981/12/20,17,04/09/2018,67,1974,Montana,Michael,Castillo,1981
1082,1994/11/15,15,08/03/2018,85,1975,Mississippi,Steven,Scott,1994
1087,1993/09/27,20,02/04/2018,91,1991,Florida,Thomas,Harvey,1993
1088,1997/10/09,19,09/14/2018,94,1992,South Carolina,Bruce,Graham,1997
1090,1986/11/12,4,09/18/2018,78,1985,Utah,Joe,Logan,1986
1094,1983/09/19,2,09/28/2018,95,1982,Ohio,Cheryl,Mckay,1983
1100,1984/01/20,20,01/23/2018,38,1972,New York,Richard,Johnson,1984
1105,1977/02/07,7,02/10/2018,30,1971,South Carolina,Keith,Barker,1977
1109,1992/10/17,10,05/20/2018,65,1991,West Virginia,Mr.,Steven Soto,1992
1114,1980/01/28,19,08/19/2018,34,1979,Alabama,Mrs.,Ashley Parks,1980
1117,1981/09/04,4,10/04/2018,46,1972,Missouri,Robert,Johnson,1981
1119,1982/10/10,20,02/03/2018,36,1974,Virginia,Deborah,Williams,1982
1136,1983/12/21,18,07/23/2018,66,1971,Texas,Jay,Stark,1983
1137,1997/07/05,14,08/03/2018,34,1982,Arizona,Maurice,Short,1997
1142,1992/12/23,20,06/24/2018,58,1977,Arkansas,Elijah,Jefferson,1992
1144,1977/12/14,0,04/10/2018,34,1971,Hawaii,Laura,Lee,1977
1148,1988/04/30,12,06/06/2018,64,1980,Arizona,Sharon,Smith,1988
1149,1991/03/10,16,10/15/2018,62,1972,Texas,Cody,Wilcox,1991
1155,1978/12/24,8,08/03/2018,93,1971,Kansas,Karen,James,1978
1156,1979/05/12,19,04/16/2018,60,1972,Massachusetts,Christopher,Richardson,1979
1160,1989/01/04,9,03/14/2018,53,1976,Washington,Albert,Maldonado,1989
1163,1989/05/24,13,08/08/2018,97,1975,Arizona,Kathleen,Fernandez,1989
1167,1994/09/26,5,12/12/2018,52,1989,Wyoming,Dylan,Baxter,1994
1170,1989/12/30,1,01/31/2018,67,1976,Iowa,Christopher,Coffey,1989
1184,1986/05/29,0,11/18/2018,85,1985,Pennsylvania,Heather,Jones DDS,1986
1188,1997/08/04,12,08/14/2018,69,1986,Arizona,Lucas,Scott,1997
1193,1989/05/05,17,07/05/2018,72,1977,North Carolina,Noah,Perez,1989
1195,1980/04/22,4,09/29/2018,73,1973,South Dakota,Virginia,Braun,1980
1196,1994/11/20,19,01/05/2019,42,1988,Delaware,Angela,Gilbert,1994
1201,1982/02/08,15,05/17/2018,58,1977,Indiana,Vincent,Figueroa,1982
1208,1994/07/23,12,07/13/2018,45,1992,Michigan,Jeff,Jones,1994
1212,1994/08/13,1,02/05/2018,52,1988,New Mexico,Melissa,Miller,1994
1217,1997/11/23,12,06/30/2018,93,1978,Iowa,Joan,Davis,1997
1219,1994/02/01,1,02/23/2018,73,1970,Pennsylvania,Joseph,Smith,1994
1223,1986/05/17,4,03/06/2018,99,1977,Georgia,Jeffrey,West,1986
1224,1998/11/17,17,08/29/2018,97,1989,Tennessee,Jay,Jackson,1998
1226,1977/06/08,0,01/13/2018,74,1976,Virginia,James,Adkins,1977
1228,1998/11/18,8,09/11/2018,39,1971,Arkansas,Nancy,Dixon,1998
1232,1985/06/26,17,12/24/2018,60,1983,Ohio,Dorothy,Mckinney,1985
1240,1979/03/17,2,05/19/2018,69,1970,New Jersey,Krystal,Thompson,1979
1243,1986/10/19,4,03/21/2018,93,1975,Georgia,Veronica,Lindsey,1986
1248,1986/12/20,16,11/24/2018,54,1983,Idaho,Kelly,Russell,1986
1268,1988/03/18,0,05/25/2018,56,1983,Virginia,Matthew,Reynolds,1988
1271,1984/10/04,3,11/19/2018,44,1971,Alabama,Ronald,Copeland,1984
1278,1983/11/08,20,05/06/2018,40,1977,Idaho,Emily,Sosa,1983
1280,1997/04/19,20,11/16/2018,91,1971,New York,Kevin,Taylor,1997
1283,1986/09/28,2,11/21/2018,46,1985,Oklahoma,Jason,Cervantes,1986
1285,1996/04/11,15,06/22/2018,72,1975,South Carolina,Timothy,Zimmerman,1996
1286,1995/02/23,14,07/22/2018,48,1982,Alaska,Steven,Kaiser,1995
1291,1992/01/16,15,03/14/2018,34,1988,Delaware,Ryan,Brooks,1992
1292,1987/10/14,16,11/01/2018,77,1971,Maryland,Caitlyn,Kennedy,1987
1297,1978/04/16,2,06/25/2018,42,1973,Arizona,Maria,Brown,1978
1301,1993/02/22,17,09/03/2018,99,1971,Virginia,Marisa,Moore,1993
1303,1987/02/17,20,12/30/2018,54,1985,Louisiana,Johnny,Dyer,1987
1312,1991/01/05,16,09/26/2018,68,1972,Oklahoma,Scott,Calhoun,1991
1321,1987/10/10,7,02/24/2018,72,1978,Washington,Johnathan,Riley,1987
1322,1988/11/05,5,06/06/2018,52,1985,Arizona,Jesus,Watson,1988
1325,1995/01/12,3,01/26/2018,61,1976,Kansas,Nancy,King,1995
1328,1985/03/10,8,03/08/2018,56,1982,New Jersey,Barbara,Flores,1985
1330,1995/05/15,9,10/25/2018,72,1972,Minnesota,David,Carlson,1995
1340,1984/12/23,2,08/26/2018,34,1977,West Virginia,Kenneth,Williams,1984
1344,1990/10/10,2,12/13/2018,65,1978,Arkansas,Troy,Noble,1990
1346,1990/06/18,1,03/12/2018,37,1985,North Dakota,Victoria,Villa,1990
1347,1998/05/09,3,06/22/2018,99,1978,Louisiana,Timothy,Jones,1998
1354,1983/01/08,9,08/02/2018,84,1979,New Hampshire,Dr.,Joy Nixon,1983
1355,1997/10/01,7,01/09/2018,85,1976,Oklahoma,Patrick,Harris,1997
1361,1988/05/09,14,02/12/2018,64,1975,Minnesota,Laura,Lee,1988
1363,1985/02/28,19,07/01/2018,97,1979,Alaska,Lisa,Sullivan MD,1985
1366,1976/10/26,1,07/29/2018,63,1970,North Carolina,Alexander,Mendoza,1976
1369,1991/12/26,15,09/05/2018,93,1980,California,Becky,Robinson,1991
1372,1984/01/13,13,12/11/2018,96,1975,Nevada,Joshua,Rollins,1984
1378,1992/03/04,13,01/05/2019,85,1976,Louisiana,Elizabeth,Page,1992
1387,1988/08/01,9,12/31/2018,91,1987,Connecticut,Shane,Ryan,1988
1390,1991/11/30,5,02/27/2018,57,1970,Alaska,Melissa,Robbins,1991
1404,1973/09/07,7,07/05/2018,49,1971,Wyoming,Kelly,Rodriguez,1973
1409,1991/04/29,9,05/01/2018,39,1990,Maine,Theresa,Le,1991
1413,1992/11/10,15,11/12/2018,40,1985,Minnesota,Erik,Peterson,1992
1420,1995/11/16,12,08/18/2018,35,1990,California,Luis,Fields,1995
1426,1975/08/07,7,07/07/2018,95,1972,Virginia,Emily,Marshall,1975
1438,1994/11/19,0,01/21/2018,61,1982,Florida,Courtney,Fitzgerald,1994
1443,1993/11/02,13,05/14/2018,89,1987,Arizona,Kevin,Morris,1993
1457,1998/12/03,6,11/24/2018,66,1994,Florida,Johnny,Hansen,1998
1461,1994/03/22,16,06/16/2018,98,1974,Mississippi,Benjamin,Hines,1994
1476,1984/10/05,2,09/08/2018,38,1983,Alaska,George,Moss,1984
1481,1984/11/16,7,02/05/2018,40,1983,Missouri,Timothy,Wallace,1984
1491,1982/06/20,6,06/27/2018,63,1970,New Mexico,Christopher,Miller,1982
1497,1990/04/06,11,06/15/2018,40,1985,Delaware,Dr.,Gloria Michael MD,1990
1524,1996/10/16,2,05/01/2018,76,1973,Missouri,Edward,Benitez,1996
1527,1997/08/11,6,08/25/2018,69,1974,Ohio,Tamara,Williams,1997
1528,1996/01/14,13,04/10/2018,65,1980,Minnesota,Audrey,Bartlett,1996
1540,1988/06/14,12,06/29/2018,42,1971,Michigan,Lisa,Whitaker,1988
1548,1990/01/12,12,10/26/2018,60,1974,Wyoming,David,Cooper,1990
1549,1987/10/12,16,07/02/2018,99,1977,Nevada,Alexandra,Wagner,1987
1554,1998/03/29,14,12/19/2018,77,1970,Virginia,Leroy,Butler,1998
1560,1983/01/14,6,06/13/2018,84,1979,Texas,Kristina,Dickerson,1983
1561,1995/05/09,18,11/05/2018,36,1972,Ohio,Timothy,Miles,1995
1564,1997/02/01,9,12/03/2018,91,1996,Alaska,Jason,Rivera,1997
1565,1990/10/12,11,12/01/2018,32,1977,Wisconsin,Courtney,Wagner,1990
1576,1982/11/05,4,02/03/2018,65,1979,Nevada,Lisa,Harrington,1982
1577,1987/03/11,10,12/23/2018,85,1975,North Dakota,Julia,Montes,1987
1579,1987/08/26,2,09/05/2018,38,1971,Delaware,Gabrielle,Johnson,1987
1582,1983/06/02,12,01/17/2018,62,1976,Oklahoma,David,Campbell DDS,1983
1583,1996/05/06,7,08/10/2018,63,1977,Florida,David,Myers,1996
1588,1998/12/15,15,11/16/2018,80,1985,Tennessee,Kim,Le,1998
1592,1995/04/25,16,08/30/2018,46,1981,Oregon,Daniel,Davis,1995
1594,1996/05/14,13,01/12/2018,69,1974,Connecticut,Joseph,Long,1996
1599,1981/06/14,7,01/09/2018,70,1974,Virginia,David,Mcclure,1981
1604,1998/09/24,18,07/10/2018,92,1984,Maryland,Michael,Ray,1998
1606,1991/10/17,11,06/04/2018,36,1972,Kansas,Vicki,Le,1991
1609,1993/05/26,2,12/22/2018,43,1970,Massachusetts,Brendan,Gould,1993
1610,1989/04/23,17,10/20/2018,48,1982,California,Matthew,Barnes,1989
1616,1990/02/12,20,10/22/2018,49,1986,Michigan,Paula,Andrade,1990
1617,1997/02/27,1,04/07/2018,87,1974,Tennessee,Shannon,Charles,1997
1629,1984/06/01,1,05/11/2018,30,1978,Maine,Raymond,Wu,1984
1638,1995/11/09,18,04/02/2018,88,1986,North Carolina,Stephanie,Evans,1995
1641,1978/03/08,15,11/15/2018,45,1972,Indiana,Kathryn,Armstrong,1978
1646,1986/02/08,15,08/12/2018,98,1971,Illinois,Brandon,Frank,1986
